DEPTH (m),HE POR,KH,KV,Depth Shifted
1621.75,8.5,1.97,,1623.25
1622.01,22.8,245,58,1623.51
1622.26,20,212,,1623.76
1622.53,17.2,8.5,,1624.03
1623.25,18.7,817,49.7,1624.75
1623.5,10,0.86,,1625
1623.75,8.8,0.22,,1625.25
1624.09,12,0.93,0.68,1625.59
1624.25,17,5.86,,1625.75
1624.72,25.1,255,,1626.22
1625.01,15.9,23.1,0.59,1626.51
1625.25,18.1,5.91,,1626.75
1625.53,16.8,23.7,,1627.03
1625.75,16.5,11.2,,1627.25
1626,19.1,7.59,0.34,1627.5
1626.29,14.9,70.1,,1627.79
1626.74,23,500,,1628.24
1627,20.6,695,0.97,1628.5
1627.5,18.2,4.65,,1629
1628,17,159,1.83,1629.5
1628.51,26,4250,,1630.01
1628.75,6,20.2,,1630.25
1629,14.2,1.05,0.57,1630.5
1629.5,13.2,7,,1631
1629.75,19.1,1500,,1631.25
1629.94,22.1,1070,1010,1631.44
1630.25,19.9,12.5,,1631.75
1630.52,15.9,0.77,,1632.02
1630.75,10.4,,,1632.25
1631,13.1,59.4,5.15,1632.5
1631.51,27.6,1030,,1633.01
1631.73,28,2790,,1633.23
1631.99,26.5,7090,1320,1633.49
1632.25,22.6,379,,1633.75
1632.75,23.6,560,,1634.25
1633,8.4,49.5,2.54,1634.5
1633.25,8.5,34.6,,1634.75
1633.48,23.1,61.9,,1634.98
1633.75,23.6,56.6,,1635.25
1634.25,9.8,0.24,,1635.75
1634.5,9.2,0.29,,1636
1634.75,24.8,243,,1636.25
1635.04,23.3,261,253,1636.54
1635.25,18.3,47,,1636.75
1635.75,20.9,419,,1637.25
1636.05,21.2,25.5,15.4,1637.55
1636.26,24.7,550,,1637.76
1636.48,24.7,940,,1637.98
1636.75,24.7,256,,1638.25
1637,14.4,2.83,0.92,1638.5
1637.25,10.5,6.45,,1638.75
1637.5,14.8,5.08,,1639
1637.75,15.7,3.61,,1639.25
1638,13.9,1.69,1.97,1639.5
1638.25,13.1,2.66,,1639.75
1638.5,24.2,538,,1640
1638.75,15.4,6.89,,1640.25
1638.99,7.8,0.37,0.27,1640.49
1639.25,11.8,0.89,,1640.75
1639.5,16,14.3,,1641
1639.75,13.1,0.61,,1641.25
1640,11.8,0.48,0.42,1641.5
1640.26,17,25.9,,1641.76
1640.48,10.1,0.56,,1641.98
1640.75,8.9,0.12,,1642.25
1641,10.3,0.73,0.09,1642.5
1641.26,14.2,,,1642.76
1641.5,12.7,0.66,,1643
1641.75,12,,,1643.25
1642,9.6,,,1643.5
1642.25,11.1,1.98,,1643.75
1642.5,12,0.57,,1644
1642.74,18.3,28.2,,1644.24
1643,13.1,4.75,2.7,1644.5
1643.25,19.8,70,,1644.75
1643.5,10.4,1.12,,1645
1643.77,19.2,40.4,,1645.27
1644,10.2,1.94,0.4,1645.5
1644.25,21.9,10.5,,1645.75
1644.48,12.2,3.57,,1645.98
1644.76,14,1.93,,1646.26
1645,16.9,357,19.1,1646.5
1645.25,15,459,,1646.75
1645.5,22.4,2440,,1647
1645.75,17.8,566,,1647.25
1647.03,24.4,1960,456,1648.53
1647.25,20.9,548,,1648.75
1647.48,18.1,560,,1648.98
1647.75,20.8,991,,1649.25
1648.25,20.7,205,,1649.75
1648.73,25,715,,1650.23
1649,10.6,224,675,1650.5
1649.51,12.8,53.8,,1651.01
1649.75,22.5,773,,1651.25
1650,8.7,10.9,563,1651.5
1650.28,21.1,1370,,1651.78
1650.5,19.3,693,,1652
1650.75,3.8,0.25,,1652.25
1651,9.6,83.4,,1652.5
1651.25,11.2,142,40.9,1652.75
1651.54,23.3,377,,1653.04
1651.75,22.1,526,,1653.25
1652,17.9,6.08,0.4,1653.5
1652.25,13.4,0.41,,1653.75
1652.45,17.3,6.11,,1653.95
1652.74,17,10.4,,1654.24
1653,17.8,635,0.56,1654.5
1653.25,17.2,161,,1654.75
1653.52,25.7,436,,1655.02
1653.81,19.7,79.6,,1655.31
1654.23,24.1,69,6.33,1655.73
1654.75,17.3,4.1,,1656.25
1655,15.7,2.68,1.35,1656.5
1655.25,19.8,159,,1656.75
1655.48,18.8,2040,,1656.98
1655.75,16.3,2400,,1657.25
1656,27.1,1000,1000,1657.5
1656.25,19.8,1000,,1657.75
1656.5,14.1,1.49,,1658
1656.75,17,7.8,,1658.25
1657,19.2,72.8,4.5,1658.5
1657.25,11,0.61,,1658.75
1657.46,11.2,0.4,,1658.96
1657.75,18.3,24,,1659.25
1658,17.4,15.2,24.4,1659.5
1658.25,17,13.7,,1659.75
1658.5,19.2,14.8,,1660
1658.75,18.8,40.4,,1660.25
1659,21.5,92,16.6,1660.5
1659.23,25.4,457,,1660.73
1659.5,21,454,,1661
1659.73,21.9,498,,1661.23
1660,22.1,494,1.18,1661.5
1660.35,23.4,2610,,1661.85
1660.75,23.6,268,,1662.25
1661.25,25.7,531,550,1662.75
1661.5,25.4,642,,1663
1661.75,23.9,346,,1663.25
1662,20,206,0.61,1663.5
1662.25,17.1,108,,1663.75
1662.5,5,0.18,,1664
1662.75,18.8,534,,1664.25
1663,21.6,445,189,1664.5
1663.25,20.7,42.2,,1664.75
1663.5,19.8,97,,1665
1663.75,21.2,385,,1665.25
1664,17.6,,,1665.5
1664.25,10,0.62,0.77,1665.75
1664.48,16.7,3.92,,1665.98
1664.75,12.5,2.06,,1666.25
1665,8.8,25.9,0.13,1666.5
1665.3,17.4,28,,1666.8
1665.5,10.9,41.5,,1667
1665.77,4,0.07,,1667.27
1666,6.4,4.04,4.87,1667.5
1666.3,9.2,23,,1667.8
1666.5,15.1,135,,1668
1666.75,10.4,121,,1668.25
1666.96,18.9,25.6,19.9,1668.46
1667.25,15.5,9.65,,1668.75
1667.5,15.1,2.79,,1669
1667.73,13.1,92.3,,1669.23
1668,7.1,0.27,0.24,1669.5
1668.26,18.8,97.4,,1669.76
1668.5,11.4,2.49,,1670
1668.78,16.6,50.1,,1670.28
1669,6,1.08,0.57,1670.5
1669.25,15.7,68.6,,1670.75
