DEPTH (m),HE POR,KH,KV,Shift,1.1,
1935.25,24.60,3210.00,,1936.35,,
1935.50,13.50,1.20,,1936.60,,
1935.75,9.50,0.08,,1936.85,,
1936.12,10.80,9.10,,1937.22,,
1936.25,10.00,0.10,,1937.35,,
1936.50,9.30,0.05,,1937.60,,
1936.75,21.30,34.00,,1937.85,,
1937.00,9.50,0.11,0.06,1938.10,,
1937.25,18.00,206.00,,1938.35,,
1937.45,24.40,211.00,,1938.55,,
1937.75,11.40,1120.00,,1938.85,,
1938.00,29.40,597.00,201.00,1939.10,,
1938.25,24.20,876.00,,1939.35,,
1938.50,21.10,,,1939.60,,
1938.78,21.80,,,1939.88,,
1939.12,20.40,,,1940.22,,
1939.22,24.90,,,1940.32,,
1939.50,25.60,501.00,,1940.60,,
1939.75,18.50,742.00,,1940.85,,
1940.00,26.30,3910.00,1410.00,1941.10,,
1940.25,23.10,3720.00,,1941.35,,
1940.48,15.50,2380.00,,1941.58,,
1940.75,14.70,4.80,,1941.85,,
1941.00,17.70,41.00,4.50,1942.10,,
1941.25,15.00,575.00,,1942.35,,
1941.48,29.80,612.00,,1942.58,,
1941.75,21.40,335.00,,1942.85,,
1942.00,24.30,165.00,2.60,1943.10,,
1942.25,21.90,57.00,,1943.35,,
1942.75,22.30,18.00,,1943.85,,
1943.00,12.30,0.19,,1944.10,,
1943.25,22.80,32.00,,1944.35,,
1943.54,11.20,2.40,,1944.64,,
1943.80,8.30,0.29,,1944.90,,
1944.25,18.60,36.00,,1945.35,,
1944.50,22.20,103.00,,1945.60,,
1944.75,27.90,1190.00,,1945.85,,
1945.00,11.80,1.00,10.00,1946.10,,
1945.25,26.90,1170.00,,1946.35,,
1945.50,8.90,0.13,,1946.60,,
1945.75,21.50,42.00,,1946.85,,
1946.00,21.90,30.00,47.00,1947.10,,
1946.25,24.00,124.00,,1947.35,,
1946.50,8.00,0.17,,1947.60,,
1946.75,19.60,38.00,,1947.85,,
1947.12,6.50,,0.02,1948.22,,
1947.25,28.10,1020.00,,1948.35,,
1947.50,25.80,87.00,,1948.60,,
1947.75,25.00,125.00,,1948.85,,
1948.00,22.00,26.00,22.00,1949.10,,
1948.25,26.60,232.00,,1949.35,,
1948.50,28.40,335.00,,1949.60,,
1948.75,16.00,4.00,,1949.85,,
1949.00,16.50,6.30,2.70,1950.10,,
1949.25,12.20,7.60,,1950.35,,
1949.50,21.70,49.00,,1950.60,,
1949.75,18.20,153.00,,1950.85,,
1950.00,28.40,941.00,395.00,1951.10,,
1950.50,16.60,1.20,,1951.60,,
1950.75,20.40,41.00,,1951.85,,
1951.00,13.40,1.40,0.65,1952.10,,
1951.23,21.60,514.00,,1952.33,,
1951.50,16.30,339.00,,1952.60,,
1951.68,27.10,658.00,,1952.78,,
1952.00,18.20,116.00,112.00,1953.10,,
1952.25,20.60,47.00,,1953.35,,
1952.52,10.60,189.00,,1953.62,,
1952.75,18.20,66.00,,1953.85,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,1.10,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
